"","X","Year","Age","Female","Male","Total"
"4593",4593,2000,41,0.00320098240578486,0.0121078017822414,0.00738
"4594",4594,2000,42,0.00340528249814488,0.0127229176988953,0.007769
"4595",4595,2000,43,0.00370207898172271,0.01360011293522,0.008295
"4596",4596,2000,44,0.00411769060293157,0.0152187164697617,0.008641
"4597",4597,2000,45,0.00440186710536815,0.0161234962715067,0.010313
"4598",4598,2000,46,0.00497408038023172,0.0174813776177992,0.010369
"4599",4599,2000,47,0.00509737971786146,0.0177812093583347,0.010921
"4600",4600,2000,48,0.00576047548048393,0.0193514143359462,0.011968
"4601",4601,2000,49,0.00649667417617246,0.0212757229777807,0.01239
"4602",4602,2000,50,0.00675624108139821,0.0221863938703635,0.014457
"4603",4603,2000,51,0.00766906785190234,0.0242341566481944,0.015294
"4604",4604,2000,52,0.00773261636364304,0.0240091804061982,0.014212
"4605",4605,2000,53,0.0078388173197057,0.0246329281022549,0.017356
"4606",4606,2000,54,0.00989283725866707,0.0303665771733861,0.016212
"4607",4607,2000,55,0.0108891720101944,0.0320424710374178,0.019577
"4608",4608,2000,56,0.0116710929919173,0.0340850282670282,0.019617
"4609",4609,2000,57,0.0120413935885509,0.0349012152855421,0.018201
"4610",4610,2000,58,0.0114303500318085,0.0328817225059352,0.023028
"4611",4611,2000,59,0.0128136804276195,0.0380649029948355,0.022094
"4612",4612,2000,60,0.0136502294931575,0.0408231331854644,0.024985
"4613",4613,2000,61,0.0147810781087793,0.0426550885661312,0.026983
"4614",4614,2000,62,0.0154877066180637,0.041700249441597,0.026596
"4615",4615,2000,63,0.0185180703992802,0.0478741453959466,0.029523
"4616",4616,2000,64,0.0197985861260119,0.048986276694934,0.031328
"4617",4617,2000,65,0.0230936282738462,0.0557376828342318,0.034393
"4618",4618,2000,66,0.0251458499868802,0.0588576946510973,0.035255
"4619",4619,2000,67,0.0246354925422125,0.0563690148403619,0.037827
"4620",4620,2000,68,0.0298408490233312,0.0650220597736919,0.041215
"4621",4621,2000,69,0.0301043325058063,0.0654204288759694,0.043736
"4622",4622,2000,70,0.0353222417598884,0.0729835153533289,0.047789
"4623",4623,2000,71,0.0372609540856477,0.0757151264741029,0.050984
"4624",4624,2000,72,0.0426904358959041,0.0804118896400502,0.055832
"4625",4625,2000,73,0.0460925827392231,0.0827497826526948,0.058335
"4626",4626,2000,74,0.0526233246925414,0.0920920632437164,0.06236
"4627",4627,2000,75,0.057463883518323,0.0956672651612668,0.066994
"4628",4628,2000,76,0.0629326320484446,0.100836346958912,0.074289
"4629",4629,2000,77,0.0694290949797438,0.106350186904991,0.075592
"4630",4630,2000,78,0.0794461340266188,0.111916610220063,0.085365
"4631",4631,2000,79,0.0875596066248745,0.121020277566328,0.093819
"4632",4632,2000,80,0.10259730620932,0.143054206291235,0.106129
"4633",4633,2000,81,0.0895498966339691,0.123917289069307,0.116879
"4634",4634,2000,82,0.133638246199789,0.177710487707577,0.12129
"4635",4635,2000,83,0.128068181368792,0.169226901464762,0.137025
"4636",4636,2000,84,0.141618843448376,0.178767458781576,0.150894
"4637",4637,2000,85,0.146467165356728,0.184248426283829,0.169119
"4638",4638,2000,86,0.176293677936508,0.209299439050186,0.188026
"4639",4639,2000,87,0.174934989292171,0.211065033582056,0.200228
"4640",4640,2000,88,0.218311724095149,0.242009827567183,0.224158
"4641",4641,2000,89,0.20661700639199,0.245172251170095,0.245383
"4642",4642,2000,90,0.253940252926163,0.279528706387336,0.267189
"4643",4643,2000,91,0.259384582542771,0.296692756239592,0.295836
"4644",4644,2000,92,0.277750253698788,0.30426961007324,0.320434
"4645",4645,2000,93,0.301544896278352,0.321041826383785,0.348314
"4646",4646,2000,94,0.315994352483354,0.339923642846133,0.363913
"4647",4647,2000,95,0.3348942100097,0.353244799174504,0.397028
"4648",4648,2000,96,0.347129167160141,0.333917312567106,0.409772
"4649",4649,2000,97,0.343328095521485,0.340335382423658,0.424105
"4650",4650,2000,98,0.388973891119587,0.391375218601779,0.437473
"4651",4651,2000,99,0.37356263631026,0.354030938372808,0.430354
"4652",4652,2000,100,0.45041262333591,0.409569297291965,0.563512
"4653",4653,2000,101,0.499196635709535,0.458837455325414,0.599145
"4654",4654,2000,102,0.481605147727725,0.455351362346133,0.632798
"4655",4655,2000,103,0.51591339676154,0.458092449805068,0.671213
"4656",4656,2000,104,0.531144125434708,0.491913648953564,0.709981
"4657",4657,2000,105,0.564076450269747,0.547807224743777,0.754988
"4658",4658,2000,106,0.590539029881913,0.608824065397351,0.807702
"4659",4659,2000,107,NA,5.99729238146552,0.870029
"4660",4660,2000,108,NA,NA,0.96364
"4661",4661,2000,109,NA,NA,1.102521
"4662",4662,2000,110,1.935484,NA,1.935484
"4663",4663,2001,0,0.00715988944298375,0.00972591271143366,0.015235
"4664",4664,2001,1,0.00113651581359648,0.00146203450915675,0.001631
"4665",4665,2001,2,0.000665487069773,0.000923098658967093,0.000924
"4666",4666,2001,3,0.00055716889309682,0.000821359067346961,0.000698
"4667",4667,2001,4,0.000494186460202975,0.000679785813418006,0.000665
"4668",4668,2001,5,0.000401515449377121,0.000573502470369903,0.000514
"4669",4669,2001,6,0.00036435132924306,0.000583534718801581,0.000467
"4670",4670,2001,7,0.000356301200337536,0.000632770886386774,0.000497
"4671",4671,2001,8,0.00031761881046669,0.000573980788866822,0.000461
"4672",4672,2001,9,0.000311185546627182,0.000561714061953702,0.000443
"4673",4673,2001,10,0.000293266472521975,0.000552393464298481,0.00043
"4674",4674,2001,11,0.000284034530945034,0.000527393563316138,0.000429
"4675",4675,2001,12,0.000306618095692018,0.000560094278036021,0.000386
"4676",4676,2001,13,0.000379835460729647,0.000666360192024551,0.000484
"4677",4677,2001,14,0.000459767425777465,0.00086028068724911,0.00058
"4678",4678,2001,15,0.000576666593043618,0.00121626344520191,0.000762
"4679",4679,2001,16,0.000698264088750497,0.00167003634665504,0.001014
"4680",4680,2001,17,0.000825492708922694,0.00213938520609793,0.001356
"4681",4681,2001,18,0.000932324411555534,0.00264535090789162,0.001681
"4682",4682,2001,19,0.00101978326314862,0.00327583847675895,0.001941
"4683",4683,2001,20,0.0010539105848651,0.00369905967512631,0.002296
"4684",4684,2001,21,0.00110233780592509,0.00433099990725697,0.00254
"4685",4685,2001,22,0.0011380117657878,0.00466717965798158,0.00286
"4686",4686,2001,23,0.00118656096194891,0.00488923817677793,0.002989
"4687",4687,2001,24,0.00120263096979722,0.00517150297617686,0.00308
"4688",4688,2001,25,0.00128229731498469,0.00557152856859969,0.003356
"4689",4689,2001,26,0.00133117632068018,0.00574998612264578,0.00354
"4690",4690,2001,27,0.00141836501078193,0.00597650478331951,0.003599
"4691",4691,2001,28,0.00141089540668327,0.00587153155998465,0.00369
"4692",4692,2001,29,0.00161330568269016,0.00640799319381427,0.003814
"4693",4693,2001,30,0.00166361738179988,0.00649521311868695,0.00417
"4694",4694,2001,31,0.001744963136566,0.00695469951236628,0.004228
"4695",4695,2001,32,0.00186637332342207,0.00714043660333526,0.004395
"4696",4696,2001,33,0.00198778407188646,0.00756266054066066,0.004573
"4697",4697,2001,34,0.00207848676112253,0.00807761161387789,0.00488
"4698",4698,2001,35,0.00226628539636744,0.00871557647704169,0.005286
"4699",4699,2001,36,0.00234205980267596,0.0091831216390976,0.0056
"4700",4700,2001,37,0.00244338280704796,0.00943997328758383,0.005777
"4701",4701,2001,38,0.00260768379915542,0.00997105003866047,0.006081
"4702",4702,2001,39,0.00292949246156777,0.0111533544869139,0.006505
"4703",4703,2001,40,0.00309484457146353,0.0117669168170684,0.007397
"4704",4704,2001,41,0.00339285187618021,0.0127452217388271,0.007729
"4705",4705,2001,42,0.00358307283475987,0.0133622306227378,0.008087
"4706",4706,2001,43,0.00380957977270814,0.0140753180570969,0.00866
"4707",4707,2001,44,0.00426536247223584,0.0154753259041211,0.009138
"4708",4708,2001,45,0.00476050079262217,0.0171833804846784,0.010175
"4709",4709,2001,46,0.0049779631692044,0.0176288867588814,0.011289
"4710",4710,2001,47,0.00564376480329378,0.0192348230791956,0.011474
"4711",4711,2001,48,0.00574678733175654,0.0194671246172577,0.012055
"4712",4712,2001,49,0.00661369021479314,0.022134615557444,0.013149
"4713",4713,2001,50,0.00738044075519429,0.0239862968726672,0.014668
"4714",4714,2001,51,0.00746882640587326,0.0240894820726221,0.015601
"4715",4715,2001,52,0.00836700602184548,0.0264865145041201,0.016752
"4716",4716,2001,53,0.00848925695756521,0.0263113471670365,0.015375
"4717",4717,2001,54,0.00909121427964672,0.0274920769847657,0.019147
"4718",4718,2001,55,0.0114293757289995,0.0337638647441058,0.018694
"4719",4719,2001,56,0.0118346802613985,0.0350290406746244,0.021133
"4720",4720,2001,57,0.013119116774866,0.0372244520253551,0.021511
"4721",4721,2001,58,0.013402952378892,0.0379605294088559,0.019967
"4722",4722,2001,59,0.012789698238266,0.0375872629926429,0.025117
"4723",4723,2001,60,0.0145604206028108,0.0427484293972993,0.025669
"4724",4724,2001,61,0.0154033091255145,0.0440858989356129,0.027266
