"Year","Age","Female","Male","Total"
1962,22,0.00415772163142039,0.000265971411946089,0.001735
1962,23,-0.00514797543863615,-0.00527996590063338,0.001901
1962,24,0.00151785502899419,-1.43181748183301e-05,0.001907
1962,25,-0.00584525016684007,-0.00452525239777534,0.002157
1962,26,-0.00259577249673022,-0.00247985892336633,0.00216
1962,27,-0.0034241311897892,-0.00250321903505644,0.002285
1962,28,-0.00791088025336354,-0.00637088733297689,0.002251
1962,29,-0.00192179829141977,-0.00201447795317183,0.002124
1962,30,-0.00254740976252783,-0.000839549181085191,0.002747
1962,31,-0.00487336057938293,-0.00464327621798642,0.002574
1962,32,0.00385186793971417,0.00337182347757717,0.002919
1962,33,-0.00780228345244384,-0.00732655747081999,0.002631
1962,34,0.00513917076967452,0.00401491439870799,0.002959
1962,35,-0.00541524475575095,-0.00591499034621495,0.003077
1962,36,-9.85470536426438e-05,-0.0022217204850654,0.003189
1962,37,0.00176087457765007,0.000130364832567958,0.003204
1962,38,-0.00291552680896597,-0.00374382829293102,0.003481
1962,39,-0.00093235210552715,-0.0029255794868718,0.003182
1962,40,0.000214875415531484,0.00118565963852778,0.004003
1962,41,-0.00893206729064659,-0.0087266734685988,0.00371
1962,42,0.00475445936643593,0.00389149058516263,0.004448
1962,43,-0.00597716525763104,-0.00545625299988035,0.004168
1962,44,0.00398599766174561,0.00203602459678218,0.004705
1962,45,-0.00629591710777572,-0.00605288786961342,0.004966
1962,46,-0.000506621784032746,-0.000224986325887885,0.005056
1962,47,0.00478999644244447,0.00142971409405061,0.005422
1962,48,-0.00124967180168284,-0.00293220187188797,0.006275
1962,49,0.00280168078819492,-0.000256149697572195,0.005975
1962,50,0.00900105639748267,0.00307764199934067,0.007375
1962,51,-0.00901891086303099,-0.00642202890721191,0.007179
1962,52,0.0118232901047142,0.00761665947415998,0.008897
1962,53,-0.00440917300174603,-0.0070536852674753,0.008246
1962,54,0.00799384607010744,0.00553646254011927,0.009459
1962,55,0.00064654474554165,-0.00260079578741064,0.010487
1962,56,0.00570721340167064,0.00116012776575739,0.011676
1962,57,0.00295919474555908,0.000272151680761215,0.012209
1962,58,-0.00733566092249346,-0.00205205091375116,0.013081
1962,59,-0.00202780132403472,0.000912808381839658,0.013295
1962,60,0.0152092783272687,0.0183562485969699,0.017665
1962,61,-0.0197482410384694,-0.0130095722033174,0.015916
1962,62,0.0181734959229651,0.00714851860857123,0.02216
1962,63,-0.0174056572676047,-0.0103777851740339,0.019245
1962,64,0.0153440788004554,0.00834607813036646,0.023263
1962,65,-0.00487542346042627,-0.00690763624603295,0.02681
1962,66,-0.00363985218966735,-0.0038213030917864,0.025338
1962,67,-0.000522866208940091,-0.000780672652012254,0.030887
1962,68,-0.0146197808441586,-0.00945161693792078,0.031271
1962,69,-0.00553711011763573,-0.00226597400256597,0.030035
1962,70,-0.0101298565761109,0.000463681158562272,0.041964
1962,71,-0.0107150610298788,-0.00870330166013804,0.034305
1962,72,0.0183372253493791,0.0141351600133175,0.054218
1962,73,-0.0285005724494594,-0.0181964299359201,0.045131
1962,74,0.0234019278241192,0.01406401564719,0.057544
1962,75,-0.007969142848586,-0.00858710310237657,0.06868
1962,76,-0.00465768316447122,-0.00378629529041171,0.069351
1962,77,0.000918768125922901,-0.00063223748879761,0.069414
1962,78,-0.0212417819465516,-0.0151729527932006,0.086148
1962,79,-0.0416977658571094,-0.0403692359509512,0.069851
1962,80,-0.000413352895204403,-0.000373027816891776,0.114836
1962,81,0.000410114789652921,0.000327184673315943,0.086568
1962,82,-0.00035723542124282,-0.000308941199125263,0.135715
1962,83,9.78030854483104e-05,-5.5603050794855e-05,0.123567
1962,84,-0.000613593583190158,-0.000869193624487825,0.146055
1962,85,-4.50540643972469e-05,-5.72584673949163e-05,0.163466
1962,86,-9.49084577344837e-05,-2.02288563286262e-05,0.177527
1962,87,-0.000164973820965668,-7.01250883786291e-05,0.191228
1962,88,-0.000222103300532004,-0.000108079205938505,0.194582
1962,89,-0.00129387550733206,-0.00167971087215414,0.186062
1962,90,-1.74375527854069e-05,0.000563659375129853,0.264877
1962,91,8.5824735291895e-06,-0.000345728558122573,0.159796
1962,92,-1.30066032805986e-05,0.000548043674839438,0.252518
1962,93,-1.09104040341719e-06,0.000206232329042327,0.196055
1962,94,-0.00185286346760941,-0.00243835643210584,0.226902
1962,95,3.42353580991889e-05,-0.000499930928100062,0.239076
1962,96,0.00037761581801334,0.00102185862133294,0.292267
1962,97,-0.000425793045987114,-0.00123172081162634,0.276956
1962,98,-0.00715045954505364,-0.00257559428735663,0.386051
1962,99,0.00703206218632486,0.00758869564604761,0.335555
1962,100,0.000115230163482733,-0.00746565704042464,0.355508
1962,101,-0.000968965062193827,0.00520269389479157,0.376789
1962,102,0.00133969888887522,0.00142207345337444,0.399009
1962,103,0.00154198540596098,0.00158889221987719,0.422464
1962,104,0.00173303353324748,0.00170492009630242,0.447088
1962,105,0.00197277608042473,0.00177109425482015,0.472967
1962,106,0.00220702966725937,0.00198371005889058,0.500613
1962,107,0.00244929907448887,0.00212868191399678,0.530764
1962,108,0.00277037644701689,0.0021083167425497,0.562351
1962,109,1.18555991209529,1.02151200953125,0.596046
1962,110,0.685558,0.903332,0.727433
1963,0,0.00937164818650231,0.010598774913228,0.03122
1963,1,0.000335127470278753,-9.084982338917e-05,0.003703
1963,2,0.000967633915178445,0.000402088818051268,0.001765
1963,3,0.0012337423466776,0.00103821446192396,0.001205
1963,4,0.00154456267364447,0.0012219174158791,0.001015
1963,5,0.00228621156752537,0.00222503525227687,0.000945
1963,6,-0.00102755369533401,-0.000949759120500066,0.000895
1963,7,-0.00123266395554966,-0.0011742155435744,0.000854
1963,8,-0.00247199848344472,-0.0022226830382137,0.000791
1963,9,-0.00323060428836081,-0.0029162419723211,0.000717
1963,10,-0.00394120214529732,-0.00381820347131494,0.000648
1963,11,-0.0017915513717627,0.00200909477506423,0.000567
1963,12,-0.00420151629053961,0.00329451623883995,0.000654
1963,13,0.00165164424297362,0.00965010544034088,0.000613
1963,14,-0.00704602755215237,-0.00549154371310071,0.000722
1963,15,-0.000589571855770483,0.000883674064666153,0.000716
1963,16,-0.00380579521254264,-0.00306838437439547,0.000987
1963,17,-0.00440874783915306,-0.0027304192219609,0.001166
1963,18,0.000308076594990747,0.00225068035747083,0.001471
1963,19,-0.000844242547041383,0.00139524169790987,0.001475
1963,20,-0.00141797672947534,-0.00097608786849283,0.001559
1963,21,-0.000581373414882252,0.00204778478835304,0.001479
1963,22,-0.00597468758622732,-0.00362266478308287,0.001898
1963,23,0.00414507120267989,0.000269424799358652,0.001841
1963,24,-0.00518195124673221,-0.00533767293866398,0.001908
1963,25,0.00151881234859848,1.95201593192416e-06,0.002009
1963,26,-0.00588733506483504,-0.0045641137221095,0.002169
1963,27,-0.00260538073053485,-0.00249147508203013,0.002293
1963,28,-0.00343920216718764,-0.00251298443979026,0.002347
1963,29,-0.00798814369789329,-0.00643523605522257,0.00212
1963,30,-0.00192290971011748,-0.0020209579685565,0.002716
1963,31,-0.00256186723305389,-0.000862666074644371,0.002405
1963,32,-0.00490193502241515,-0.00466914894026182,0.003033
1963,33,0.00384195425727631,0.00336789198572118,0.00273
1963,34,-0.00787107877838929,-0.00736946997216279,0.002715
1963,35,0.00511849996569242,0.00397217676972121,0.003263
1963,36,-0.00545449843138334,-0.00597410082793696,0.003219
1963,37,-9.92905996145971e-05,-0.0022399693177715,0.003146
1963,38,0.00176290925498587,0.00013430419152686,0.003418
1963,39,-0.00293213435325171,-0.00375546489474582,0.003416
1963,40,-0.00093040662799879,-0.0029778896693843,0.003911
1963,41,0.000210456832471866,0.00118847547448745,0.003486
1963,42,-0.00903328355309716,-0.00885547077111932,0.004651
1963,43,0.0047473786109871,0.00390221913810613,0.004243
1963,44,-0.00603010234480372,-0.00549849981877295,0.004233
1963,45,0.00398784706406529,0.00201886443608993,0.005501
1963,46,-0.00635785087556139,-0.00613716193270394,0.005064
1963,47,-0.000510245560122015,-0.000226870569526704,0.00548
1963,48,0.00478715967216736,0.00143804813545424,0.006086
1963,49,-0.00125374926202107,-0.00296923171361692,0.006105
1963,50,0.00280466210870427,-0.000259888332259771,0.007187
